,Year,City,Sport,Discipline,NOC,Event,Event.gender,Medal
100,1932,Lake Placid,Skiing,Cross Country S,FIN,18km,M,Bronze
101,1932,Lake Placid,Skiing,Cross Country S,FIN,50km,M,Gold
102,1932,Lake Placid,Skiing,Cross Country S,FIN,50km,M,Silver
110,1932,Lake Placid,Skiing,Cross Country S,NOR,50km,M,Bronze
111,1932,Lake Placid,Skiing,Nordic Combined,NOR,individual,M,Bronze
112,1932,Lake Placid,Skiing,Nordic Combined,NOR,individual,M,Gold
113,1932,Lake Placid,Skiing,Nordic Combined,NOR,individual,M,Silver
114,1932,Lake Placid,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Bronze
115,1932,Lake Placid,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
116,1932,Lake Placid,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
119,1932,Lake Placid,Skiing,Cross Country S,SWE,18km,M,Gold
120,1932,Lake Placid,Skiing,Cross Country S,SWE,18km,M,Silver
